product_id,product_name,category,price,stock,manufacturer,release_year
1,ノートPC Pro 15,パソコン,148000,45,TechCorp,2023
2,ワイヤレスイヤホン X1,オーディオ,12800,120,SoundWave,2024
3,スマートウォッチ S3,ウェアラブル,34800,78,SmartGear,2023
4,4Kモニター 27型,ディスプレイ,58000,32,ViewTech,2022
5,メカニカルキーボード,周辺機器,9800,200,TypeMaster,2023
6,ゲーミングマウス,周辺機器,6500,350,GamePro,2024
7,外付けSSD 1TB,ストレージ,12000,89,DataSpeed,2024
8,ウェブカメラ HD,周辺機器,7800,156,ClearVision,2023
9,タブレット Air 11,タブレット,68000,55,TechCorp,2024
10,スピーカー Bluetooth,オーディオ,18000,67,SoundWave,2022
11,デスクトップPC Tower,パソコン,198000,15,TechCorp,2023
12,スマートフォン Z7,スマートフォン,89000,230,MobileFirst,2024
13,プリンター複合機,周辺機器,25000,42,PrintPro,2022
14,NAS 4TB,ストレージ,45000,28,DataSpeed,2023
15,ゲーミングヘッドセット,オーディオ,15800,95,GamePro,2024
16,ルーター Wi-Fi 6,ネットワーク,18000,73,NetConnect,2023
17,電子書籍リーダー,タブレット,14800,110,ReadMore,2023
18,ポータブルSSD 500GB,ストレージ,7500,180,DataSpeed,2024
19,スマートホームハブ,IoT,9800,60,SmartGear,2023
20,充電器 65W USB-C,アクセサリ,3200,500,PowerPlus,2024
21,ラップトップスタンド,アクセサリ,4500,320,DeskMate,2023
22,USBハブ 7ポート,周辺機器,2800,410,ConnectAll,2024
23,ポータブルプロジェクター,ディスプレイ,42000,18,ViewTech,2023
24,VRヘッドセット,ウェアラブル,58000,22,VirtualWorld,2024
25,ドローン カメラ付き,その他,78000,12,AirDrone,2024
